company_name,employer_key,verdict,evidence
Accenture Federal Services,ACCENTURE,reject,AFS is a separate entity for cleared US federal work and is not the Accenture that files these
Alo Yoga,ALO,reject,31 filings under a single generic token; cannot be confirmed as Alo Yoga
Anthropic,ANTHROPIC PBC,accept,168 filings; Anthropic PBC is the legal entity
Anthropic,ANTHROPIC PBC D B A ANTHROPIC,accept,"9 filings; same entity, doing-business-as form"
Attentive,ATTENTIVE MOBILE,accept,Attentive Mobile Inc is the company's legal name; 51 filings
BMO,BMO BANK N A,accept,64 filings; BMO US banking entity
BMO,BMO CAPITAL MARKETS,accept,14 filings; BMO entity
BMO,BMO HARRIS BANK N A,accept,1 filing; BMO entity
Capital One,CAPITAL ONE NATIONAL ASSOCIATION,accept,523 filings; the bank entity; same employer group
Capital One,CAPITAL ONE SERVICES,accept,1029 filings; Capital One Services LLC is the operating entity
Cognizant,COGNIZANT MOBILITY,accept,13 filings; Cognizant entity
Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS,accept,15274 filings; the principal Cognizant entity
Cognizant,COGNIZANT TRIZETTO SOFTWARE GROUP,accept,42 filings; Cognizant-owned TriZetto
Cognizant,COGNIZANT WORLDWIDE,accept,26 filings; Cognizant entity
Commvault,COMMVAULT SYSTEMS,accept,Commvault Systems Inc is the legal name; 69 filings
Continental,CONTINENTAL AUTOMOTIVE SYSTEMS,accept,Continental AG's US automotive entity; 41 filings
Continental,CONTINENTAL AUTONOMOUS MOBILITY,accept,Continental AG's autonomous driving entity; 20 filings
Continental,CONTINENTAL CASUALTY,reject,"Continental Casualty is CNA's insurance entity, not Continental AG"
Esri,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE ESRI,accept,82 filings; Esri is the trading name of ESRI Inc
Eurofins,EUROFINS LANCASTER LABORATORIES PROFESSIONAL SCIENTIFIC SERVICES,accept,Eurofins Lancaster Laboratories is part of the Eurofins group; 75 filings
Experian,EXPERIAN INFORMATION SOLUTIONS,accept,Experian Information Solutions Inc is the US entity; 133 filings
Guidepoint,GUIDEPOINT SECURITY,reject,GuidePoint Security is a different company from Guidepoint the expert network
Intuitive,INTUITIVE SURGICAL,accept,16 filings; same employer
Intuitive,INTUITIVE SURGICAL OPERATIONS,accept,443 filings; Intuitive is the trading name of Intuitive Surgical
Intuitive,INTUITIVE TECHNOLOGY PARTNERS,reject,3 filings; unrelated IT consultancy
Lucid Motors,LUCID,reject,"842 filings; a different company entirely, not Lucid Motors"
Lucid Motors,LUCID GROUP,accept,15 filings; Lucid Group Inc is the parent of Lucid Motors
Lucid Motors,LUCID SOFTWARE,reject,22 filings; Lucid Software makes Lucidchart
Motional,MOTIONAL AD,accept,Motional AD LLC is the Hyundai-Aptiv joint venture itself; 129 filings
NBCUniversal,NBCUNIVERSAL MEDIA,accept,NBCUniversal Media LLC is the operating entity; 102 filings
Oracle,ORACLE AMERICA,accept,1599 filings; Oracle America Inc is the US entity
Oracle,ORACLE FINANCIAL SERVICES SOFTWARE,accept,86 filings; majority-owned Oracle subsidiary
Oracle,ORACLE LAW FIRM,reject,"2 filings; a law firm, not Oracle Corporation"
Oracle,ORACLE ROBOTICS,reject,5 filings; unrelated company sharing the word
PwC,PRICEWATERHOUSECOOPERS ADVISORY SERVICES,accept,the main PwC US advisory entity
PwC,PWC BUSINESS ADVISORY,accept,56 filings; PwC advisory entity
PwC,PWC CONSULTING,accept,180 filings; PwC consulting practice
PwC,PWC GROUP,accept,74 filings; PwC group entity
PwC,PWC TAX,accept,201 filings; PwC tax practice
Red Bull,RED BULL NORTH AMERICA,accept,13 filings; Red Bull North America Inc
Robinhood,ROBINHOOD MARKETS,accept,Robinhood Markets Inc is the parent legal entity; 261 filings
TD Bank,TD BANK NATIONAL ASSOCIATION,accept,82 filings; the US banking entity
